2026-09-23 10:04:11,771 [INFO] Starting flight producer -> localhost:9092 (topic: flight-events)
2026-09-23 10:04:11,771 [INFO] Produced SG551 | CCU -> BOM | status=ON_TIME delay=0min
2026-09-23 10:04:12,775 [INFO] Produced QP232 | HYD -> BOM | status=ON_TIME delay=0min
2026-09-23 10:04:13,780 [INFO] Produced UK853 | BOM -> BLR | status=ON_TIME delay=0min
2026-09-23 10:04:14,781 [INFO] Produced 6E845 | HYD -> CCU | status=ON_TIME delay=0min
2026-09-23 10:04:15,786 [INFO] Produced QP535 | BLR -> HYD | status=ON_TIME delay=0min
2026-09-23 10:04:16,787 [INFO] Produced I5426 | BOM -> HYD | status=ON_TIME delay=0min
2026-09-23 10:04:17,792 [INFO] Produced 6E408 | MAA -> BOM | status=ON_TIME delay=0min
2026-09-23 10:04:18,797 [INFO] Produced 6E686 | DEL -> MAA | status=DELAYED delay=107min
2026-09-23 10:04:19,803 [INFO] Produced I5934 | HYD -> DEL | status=ON_TIME delay=0min
2026-09-23 10:04:20,807 [INFO] Produced SG125 | BOM -> CCU | status=DELAYED delay=71min
2026-09-23 10:04:21,809 [INFO] Produced AI861 | CCU -> BLR | status=ON_TIME delay=0min
2026-09-23 10:04:22,809 [INFO] Produced UK330 | MAA -> BOM | status=ON_TIME delay=0min
2026-09-23 10:04:23,811 [INFO] Produced 6E820 | HYD -> CCU | status=DELAYED delay=3min
2026-09-23 10:04:24,813 [INFO] Produced I5237 | BOM -> MAA | status=DELAYED delay=33min
2026-09-23 10:04:25,816 [INFO] Produced SG351 | CCU -> BLR | status=DELAYED delay=46min
2026-09-23 10:04:26,817 [INFO] Produced QP618 | MAA -> CCU | status=DELAYED delay=73min
2026-09-23 10:04:27,822 [INFO] Produced AI344 | BOM -> CCU | status=DELAYED delay=79min
2026-09-23 10:04:28,827 [INFO] Produced 6E466 | DEL -> HYD | status=ON_TIME delay=0min
2026-09-23 10:04:29,832 [INFO] Produced AI483 | DEL -> HYD | status=ON_TIME delay=0min
